,Open,High,Low,Close,Adj Close,Volume,score,body_sentiment,title_sentiment,counts
2020-10-21,13.9,14.42,13.8,14.1,14.1,5361900,1.0,0.02280000000000002,0.09081818181818181,11
2020-10-22,14.2,15.87,14.19,14.91,14.91,16212200,1.0,-0.04772727272727273,0.022718181818181825,11
2020-10-23,15.05,15.38,14.55,15.0,15.0,6507300,1.0,0.3604111111111112,-0.07719999999999999,9
2020-10-24,15.05,15.38,14.55,15.0,15.0,6507300,1.0,0.0958,0.017820000000000013,5
2020-10-25,15.05,15.38,14.55,15.0,15.0,6507300,1.0,0.03420000000000001,0.41617999999999994,5
2020-10-26,14.93,15.45,13.26,13.45,13.45,13376300,1.0,0.4551933333333334,0.12949333333333335,15
2020-10-27,13.71,13.71,12.36,12.69,12.69,7231000,1.0,0.14881875000000003,-0.06991249999999999,16
2020-10-28,12.27,13.05,11.78,11.82,11.82,6388600,1.0,-0.23212500000000003,0.18496666666666664,12
2020-10-29,11.88,12.25,11.68,11.73,11.73,4165800,1.0,0.14939473684210522,0.032184210526315794,19
2020-10-30,11.64,11.64,10.36,10.47,10.47,11546900,1.0,0.0681533333333333,0.05257333333333333,15
2020-10-31,11.64,11.64,10.36,10.47,10.47,11546900,1.0,0.8542,0.4003,1
2020-11-01,11.64,11.64,10.36,10.47,10.47,11546900,1.0,0.9584,0.5227,1
2020-11-02,10.82,11.09,10.5,10.75,10.75,5227000,1.0,0.0,0.0,1
2020-11-03,10.75,11.86,10.63,11.57,11.57,7454500,1.0,0.82445,0.31245,2
2020-11-04,11.76,11.77,10.61,10.91,10.91,5807900,1.0,0.59245,-0.031399999999999983,2
2020-11-05,11.27,11.84,11.06,11.45,11.45,4705200,,,,0
2020-11-06,11.52,12.17,11.32,11.86,11.86,5518200,1.0,-0.2263,0.0,1
2020-11-07,11.52,12.17,11.32,11.86,11.86,5518200,1.3333333333333333,0.70385,0.1756333333333333,6
2020-11-08,11.52,12.17,11.32,11.86,11.86,5518200,1.0,0.0,0.0,1
2020-11-09,12.76,12.93,11.25,11.49,11.49,6244900,1.0,0.3285,0.0794125,8
2020-11-10,11.5,11.66,10.83,11.1,11.1,3826000,1.0,0.30585,-0.05851666666666666,6
2020-11-11,11.5,11.95,11.21,11.75,11.75,4882600,1.0,0.3869,0.055875,4
